【小朋友的这些“小事”，习近平始终放在心上】在“六一”国际儿童节到来之际，习近平总书记代表党中央，向全国各族少年儿童致以节日的祝贺！习近平强调，希望广大少年儿童刻苦学习知识，坚定理想信念，磨练坚强意志，锻炼强健体魄，为实现中华民族伟大复兴的中国梦时刻准备着。少年儿童的身体健康和成 ...展开全文c,5月31日 18:08 来自 微博 weibo.com,https://m.weibo.cn/detail/4510706487519911
恭喜@养乐多绿呢 等100名用户获得【联名款螺蛳粉】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：O微博抽奖平台,5月31日 17:34 来自 微博抽奖平台,https://m.weibo.cn/detail/4510697885447387
【转发，祝贺！#高分九号02星发射成功#】5月31日16时53分，我国在酒泉卫星发射中心用长征二号丁运载火箭，成功将高分九号02星、和德四号卫星送入预定轨道，发射获得圆满成功。这次任务是#长征系列运载火箭第333次飞行#。（余建斌 朱霄雄）,5月31日 17:19 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4510694220167676
【这里有#大朋友也爱读的图画书#】明天就是儿童节，我们准备了很多图画书！《敦煌：中国历史地理绘本》《中国人文地理画卷系列》《颜色里的中国画》《故宫里的博物学》……从地理到人文，从艺术到科学，关注@人民日报 并转发这条微博，抽取40名“小书虫”，随机获得以下图书一份！#我要做一天小孩子#  ...展开全文c,5月31日 17:04 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4510690399199559
【#多伦多爆发反对种族主义游行示威#】多伦多警方被指将一黑人女子推下阳台致死，警方称其是跳楼自杀，但死者家人通过社交媒体表示，是警察将其从阳台上推下去的。此事立即在黑人民众当中引起轩然大波，加上最近美国大规模抗议事件，当地时间30日下午，#加拿大爆发千人游行示威反对歧视黑人#。   ...展开全文c,5月31日 16:26 来自 微博视频 已编辑,https://m.weibo.cn/detail/4510680948426271
【#纽约州长谈美国警察暴力执法#：除非瞎了，否则你不会把明尼阿波利斯事件当成个案】5月30日，美国纽约州州长科莫在谈到警察暴力执法时表示，这不是个案，除非你是瞎了或拒绝承认事实，在我们的刑事司法制度中，存在令人憎恶的不公正现象。#纽约州长说美国警察暴力执法不是个案#L小央视频的秒拍视频,5月31日 16:16 来自 微博 weibo.com,https://m.weibo.cn/detail/4510678268584585
【#张文宏说我们医生多操心让大家省心#】在回应秋冬可能发生的第二波疫情时，张文宏说，部分疫情未能有效控制国家可能出现反弹，不过大家不用过于担心，中国已经建立了一套相对完整的防疫体系，为防范输入性疫情做好了准备。“这段时间我们这些人要多操点心，让你们省心”，控制住输入性疫情。  ...展开全文c,5月31日 16:03 来自 微博云剪,https://m.weibo.cn/detail/4510675106654293
【手可摘星辰！#梵净山的夏夜星空#】近日，贵州铜仁，当夜色降临梵净山，抬头仰望天际，可以欣赏到最纯净的星空。#夏夜的梵净山#不仅气候凉爽，天空更是纯净如洗，抬头就可遥望繁星闪耀，领略银河璀璨。L人民视频的秒拍视频,5月31日 15:30 来自 微博 weibo.com,https://m.weibo.cn/detail/4510666889880200
【#张文宏提示饭后运动后量体温会偏高#】5月31日，张文宏受访时提示，量体温时额温相对而言更加准确。而在吃饭后、运动后，人的体温都会略高0.5℃。张文宏建议，学校在#量体温建议避开饭后一小时#内及运动之后，避免因温度失准而引起恐慌。 L人民日报的微博视频,5月31日 14:56 来自 微博云剪 已编辑,https://m.weibo.cn/detail/4510658286831570
【正在直播：#张文宏解读如何科学戴口罩#】近日，国家卫健委发布了《公众科学戴口罩指引（修订版）》，明确了公共环境中口罩的适用方法。同时大中小学也在近期陆续开学。今天，@张文宏医生 将就返校后如何做好防护、中高考冲刺阶段的健康作息等提供一些建议和分析。戳直播↓↓ L人民日报的微博视频 .,5月31日 14:30 来自 微博原生直播,https://m.weibo.cn/detail/4510651659276513
【#福克斯频道驰名双标#】用弓箭射穿香港警察小腿叫“protesters”，攻击美国警察就是“rioters”？,5月31日 14:23 来自 微博 weibo.com,https://m.weibo.cn/detail/4510649868955793
【#为什么接触电子烟的青少年在增多#】中国疾控中心数据显示，#初中生使用电子烟比例显著上升#。专家分析，一些电子烟炒作“健康无害”“时尚”概念，代言广告中的明星等也在潜移默化影响青少年。而电子烟同样含有尼古丁，易产生依赖，接触电子烟的青少年最终多成为卷烟的消费者。因此，远离烟草，应从 ...展开全文c,5月31日 13:48 来自 微博 weibo.com,https://m.weibo.cn/detail/4510641056739823
【广州白云区教育局通报：#广州涉体罚学生教师已被暂停班主任职务#】5月31日，#广州白云教育局通报教师涉嫌体罚学生#：据广州白云公安5月31日凌晨的通报，发帖人刘某（微博名：小岛里的大海）承认其女儿因遭体罚吐血、凌晨2时被老师威胁殴打、送老师6万元等情节，系其为扩大影响而故意编造的谎言，照片 ...展开全文c,5月31日 13:10 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4510631673852078
【明天起，这些新规将影响你的生活】①卫生健康领域“基本法”将生效，#国家立法保护医护人员安全#，对“医闹”零容忍；②#6月起骑摩托车不戴头盔等要被严查#；③6月20日起机动车检验标志电子化服务将覆盖全国……更多↓↓转发周知！,5月31日 13:00 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4510628934971271
"【#全美已有25座城市宵禁#，#美国警方逮捕约1400名示威者#】5月30日，美国明尼苏达州白人警察涉嫌执法不当致死非洲裔男子乔治·弗洛伊德引发的骚乱持续升级。据美国媒体统计，目前示威游行已席卷全美30多个大小城市，包括纽约、洛杉矶、芝加哥、旧金山、费城、休斯顿和华盛顿特区等主要城市。
在事发地 ...展开全文c",5月31日 12:20 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4510618974288703
【我国#初中生使用电子烟比例显著上升#，#2019近1/4高中生曾尝试吸卷烟#】5月31日，中国疾控中心发布#2019年中国中学生烟草调查#结果。这份31省区市约29万学生参加的抽样调查结果显示，过去5年我国初中学生尝试和现在吸卷烟的比例明显下降，但听说过和现在使用电子烟的比例显著上升。2019年高中学生尝 ...展开全文c,5月31日 12:05 来自 微博 weibo.com,https://m.weibo.cn/detail/4510615148657091
#我要做一天小孩子#【明天六一，说一说#小朋友们教会你的道理#】敢担当、肯努力、勇追梦、有爱心…有时候，孩子们的天真可爱，带给我们温暖感动，也教会我们许多道理。六一儿童节将至，带话题#小朋友们教会你的道理#发条微博，聊一聊那些你从孩子们身上学到的道理↓时光匆匆，愿你也童心不泯,5月31日 11:20 来自 微博 weibo.com,https://m.weibo.cn/detail/4510603908210960
【谁说90后很幼稚？#我们在用自己的方式长大#】那些祖国的花儿，那些追梦的孩子，现在在哪？他们在抗疫一线和死神抢人；在志愿者群里一声呼喊，万千回应；在传递温暖的路上风雨无阻；在烈火汹涌时坚守一线守护希望。当他们被热爱点燃，眼里光芒万丈。明天儿童节，一起做热爱守护者！#我要做一天小孩子# ...展开全文c,5月31日 10:59 来自 微博视频,https://m.weibo.cn/detail/4510598514404369
【世界无烟日：#钟南山李兰娟等呼吁远离烟草#】今天是世界无烟日，钟南山、李兰娟、王辰等多位专家共同发出强烈呼吁：不要吸烟，不要二手烟。希望来之不易的健康能被好好珍惜！#听医生的话#，请一起转发呼吁！@世界卫生组织 L人民日报的微博视频,5月31日 10:25 来自 微博 weibo.com,https://m.weibo.cn/detail/4510590121628406
"【习近平向全国各族少年儿童致以节日的祝贺】在“六一”国际儿童节到来之际，中共中央总书记、国家主席、中央军委主席习近平代表党中央，向全国各族少年儿童致以节日的祝贺！
习近平指出，在这次全国人民万众一心抗击新冠肺炎疫情的斗争中，广大少年儿童也经历了一段特殊时期，不仅亲眼目睹了中国 ...展开全文c",5月31日 10:09 来自 微博 weibo.com,https://m.weibo.cn/detail/4510585981185041
【#大兴安岭两起森林火灾均已合围#】5月30日14时许，内蒙古大兴安岭林区库都尔林业局、吉文林业局瞭望塔分别报告本生态功能区内发现烟点，各方灭火力量迅速前往展开扑救。吉文林业局吉西林场火场经两个多小时积极扑救，于30日16时10分火场实现合围，随即转入清理守护阶段。库都尔林业局火场经过历时7小 ...展开全文c,5月31日 09:37 来自 微博 weibo.com,https://m.weibo.cn/detail/4510577958126896
【人民锐评：#香港国安立法美国干扰也没用#！】外部势力这些外强中干的“强力回应”，除了再次告诉我们香港国安立法刻不容缓，还有助于香港市民认清外部势力的真面目。奉劝乱港势力和他们的“洋主子”，认真补补中华人民共和国历史的课，71年历史，中国几时怕过他国威胁要挟？今日之中国，是“狂风骤雨 ...展开全文c,5月31日 09:16 来自 微博 weibo.com,https://m.weibo.cn/detail/4510572588202856
#SpaceX载人火箭发射成功#【美国“龙”飞船首次载人上太空】美国东部时间30日下午，美国SpaceX载人龙飞船发射成功，乘“猎鹰9号”火箭飞往国际空间站。这是自2011年以来美国首次使用本国火箭和飞船从本土将航天员送往国际空间站，也是人类历史上首次私营公司开发的商业载人航天发射。按计划两名航天员 ...展开全文c,5月31日 08:53 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4510566843369929
【世界无烟日，一起转发：#我拒绝二手烟#！】①烟草每年使800多万人失去生命；②我国现有吸烟者逾3亿，每年因二手烟暴露导致的死亡人数超10万；③使用电子烟会增加心脏病和肺病风险；④全球2/3以上肺癌死亡由吸烟所致…#关于吸烟的9个真相#↓↓为了你和家人的健康，戒烟或不在公共场合吸烟，扩散！,5月31日 08:17 来自 微博 weibo.com,https://m.weibo.cn/detail/4510557941618834
【#31省区市新增3例无症状感染者#】5月30日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者3例（境外输入1例）；当日无转为确诊病例；当日解除医学观察10例（无境外输入）；#尚在医学观察无症状感染者389例#（境外输入25例）。,5月31日 07:59 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4510553320781113
"#山东新增2例境外输入病例#【#31省区市新增确诊2例#：均为境外输入】5月30日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例2例，均为境外输入病例（均在山东）；无新增死亡病例；无新增疑似病例。
当日新增治愈出院病例2例，解除医学观察的密切接触者565人，重症病例与前一日持 ...展开全文c",5月31日 07:57 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4510552736955528
【#巴西新冠肺炎累计确诊近50万例#，#巴西单日新增确诊超3万#】据巴西卫生部消息，当地时间30日，巴西新增33274例新冠肺炎确诊病例，累计确诊498440例，新增死亡956例，累计死亡28834例。其中，单日新增确诊病例数连续第三天创新高。巴西已超过法国，成全球新冠肺炎死亡人数第四多的国家。（人民日报记 ...展开全文c,5月31日 07:33 来自 微博 weibo.com,https://m.weibo.cn/detail/4510546802706019
"【广州#警方通报教师涉嫌体罚学生#：家长承认撒谎】据@广州白云公安 通报：关于网传“广州市方圆实验小学一名教师涉嫌体罚学生”一事，警方积极配合有关部门开展调查。
经调查取证，发帖人刘某（微博名：小岛里的大海 ）承认“其女儿因遭体罚吐血”“凌晨2时被老师威胁殴打”“送老师6万元”等情节，系 ...展开全文c",5月31日 07:18 来自 微博 weibo.com,https://m.weibo.cn/detail/4510543082236234
【揪心！#内蒙古大兴安岭发生森林火灾#，2000余人赶赴扑救】内蒙古大兴安岭库都尔林业局、吉文林业局30日发生森林火灾，内蒙古大兴安岭重点国有林管理局森防指共调集#2000余人正扑救大兴安岭山火#，其中吉文林业局吉西林场火场已实现合围，正在清理守护。呼伦贝尔市气象局30日发布雷电黄色预警和大风蓝 ...展开全文c,5月30日 22:19 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4510407265375896
【#安理会拒绝美英涉港提议#】中国全国人大高票通过涉港国家安全决议，美国、英国出于自身政治目的，妄图推动联合国安理会举行公开视频会议进行讨论。中国表示强烈反对，绝大多数安理会成员均不支持美方提议，认为涉港问题属于中国内政，与安理会职责无关。安理会拒绝了美国无理要求，美方图谋以失败告 ...展开全文c,5月30日 20:59 来自 微博 weibo.com,https://m.weibo.cn/detail/4510387293347312
【人民锐评：#中国人民不吃美国这一套#】荒唐，荒谬！特朗普表示美国将采取一系列所谓的威胁与制裁手段，并不让人愕然。制裁本身自始至终都是荒唐可笑的。这些手段，实际效果有限，给人黔驴技穷之感。反复施压、多重威胁、叫嚣制裁，美国这套招式，中国人这几年真是见惯不惊了。现在美国又威胁制裁香港 ...展开全文c,5月30日 20:49 来自 微博 weibo.com,https://m.weibo.cn/detail/4510384637987145
【#美国加州两名执法人员中枪一人身亡#】据美国有线电视新闻网，在当地时间29日晚的抗议活动中，加利福尼亚州奥克兰市两名联邦保卫局的执法人员中枪，一人因枪伤身亡。据CNN介绍，联邦保卫局隶属于美国国土安全部，该局为美国政府设施提供安全及执法服务。当晚至少7500名示威者上街，有人破坏公物、盗 ...展开全文c,5月30日 20:24 来自 微博 weibo.com,https://m.weibo.cn/detail/4510378346748670
